Timestamp, LinearX, LinearY, LinearZ, AngularX, AngularY, AngularZ, MagnetX, MagnetY, MagnetZ
55824, 0.30, -0.41, 0.84, 6.10, 6.04, 16.17, -24.00, -8.00, 7.00
56340, 0.13, -0.20, 1.06, -35.46, 53.71, 20.69, -16.00, -8.00, 14.00
56857, 0.09, 0.38, 0.89, -6.16, -11.23, -5.86, 1.00, -6.00, 34.00
57374, 0.11, 0.52, 0.84, 20.32, 1.95, -7.26, 1.00, -3.00, 28.00
57890, 0.31, -0.43, 0.53, -3.48, 41.75, -49.19, -22.00, -10.00, 15.00
58407, 0.28, -0.35, 0.92, 0.06, 3.23, 0.31, -23.00, -11.00, 12.00
58923, 0.27, -0.34, 0.89, 4.46, -1.10, -0.24, -21.00, -12.00, 14.00
59440, 0.26, -0.32, 0.91, 0.12, -2.75, -0.31, -21.00, -10.00, 11.00
59957, 0.24, -0.35, 0.88, -10.80, -2.75, 0.37, -22.00, -11.00, 10.00
60474, 0.18, -0.38, 0.86, 2.32, -6.47, -0.85, -23.00, -6.00, 8.00
60991, 0.15, -0.61, 0.74, -22.64, 0.18, -11.05, -28.00, -10.00, 0.00
61508, 0.15, -0.57, 0.81, 1.10, 10.68, -6.23, -25.00, -9.00, 6.00
62025, 1.14, 0.01, -0.56, 174.07, 118.04, 2.14, 9.00, -30.00, -32.00
62541, 0.39, -0.10, 0.53, 228.33, -46.33, 28.99, -19.00, -25.00, 6.00
63058, 0.80, -0.44, 0.24, 154.79, 29.11, 216.06, -2.00, -35.00, -15.00
63575, 0.43, 0.44, 1.18, -114.81, -124.76, 98.75, -15.00, -28.00, -1.00
64092, 0.56, -0.06, 0.94, -189.82, 70.43, -9.64, -13.00, -27.00, 8.00
64609, 0.72, -0.02, 0.77, -0.92, 163.15, -29.72, -14.00, -28.00, -2.00
65126, 0.58, -0.24, -0.68, -12.45, 86.73, -8.30, -19.00, -2.00, -46.00
65643, 0.60, -0.71, -0.22, -143.74, -375.55, -165.28, -22.00, -27.00, -26.00
66160, -0.15, 0.42, 1.58, 7.69, -167.48, 16.85, -13.00, -11.00, 12.00
66677, 0.30, -0.25, 0.91, -18.68, -13.37, 3.72, -23.00, -9.00, 7.00
67194, 0.24, -0.25, 0.96, 7.20, 1.83, 6.29, -24.00, -8.00, 5.00
67710, 0.23, -0.26, 0.92, 2.20, 1.95, -1.83, -25.00, -7.00, 6.00
68227, 0.22, -0.31, 0.94, 1.04, -0.85, 0.12, -23.00, -6.00, 7.00
68744, 0.22, -0.26, 0.94, 3.72, 3.05, -0.61, -24.00, -7.00, 8.00
69261, 0.22, -0.28, 0.93, 0.67, -3.72, -1.28, -26.00, -7.00, 5.00
69778, 0.20, -0.12, 0.78, 18.62, 54.75, -23.19, -27.00, 0.00, 8.00
70294, 0.07, -0.37, 0.73, 28.99, -0.43, -16.17, -31.00, 6.00, 9.00
70811, 0.18, -0.42, 0.89, 30.09, -12.57, 63.11, -39.00, 11.00, 11.00
71327, -0.12, -0.33, 0.97, 24.66, 0.92, -29.79, -31.00, 27.00, 19.00
71844, -0.06, -0.24, 0.97, -1.53, -15.93, -4.03, -27.00, 31.00, 27.00
72361, -0.04, -0.24, 0.94, -5.37, 1.10, 0.61, -26.00, 29.00, 24.00
72878, -0.04, -0.24, 0.95, 6.84, 6.77, 1.34, -25.00, 29.00, 19.00
73394, -0.05, -0.27, 0.94, -7.69, -0.43, -0.98, -26.00, 30.00, 21.00
73911, -0.04, -0.20, 0.97, 6.59, -1.16, -1.16, -27.00, 31.00, 23.00
74428, -0.04, -0.27, 0.93, 9.52, -6.41, -3.23, -27.00, 29.00, 24.00
74945, -0.05, -0.23, 0.94, -8.24, 13.85, -3.97, -28.00, 31.00, 22.00
75462, -0.02, -0.10, 0.94, 9.03, 13.85, 0.37, -26.00, 31.00, 24.00
75978, -0.08, -0.26, 1.00, -2.08, -5.13, 3.85, -30.00, 30.00, 27.00
76495, -0.04, -0.21, 0.96, 1.65, 2.56, 0.12, -27.00, 30.00, 26.00
77011, -0.05, -0.23, 0.96, 0.06, 3.72, -1.77, -29.00, 30.00, 22.00
77528, -0.06, -0.21, 0.97, -1.46, -4.52, -0.92, -28.00, 31.00, 23.00
78045, -0.06, -0.21, 0.96, 2.14, -1.04, 1.04, -27.00, 32.00, 23.00
78562, -0.06, -0.21, 0.96, -1.10, -0.31, -0.55, -29.00, 32.00, 25.00
79079, -0.07, -0.20, 0.98, 1.28, -2.75, 1.95, -28.00, 33.00, 24.00
79596, -0.07, -0.19, 0.97, 1.46, -3.60, 1.53, -27.00, 33.00, 22.00
80113, -0.08, -0.19, 0.98, -0.18, 2.81, -0.61, -26.00, 33.00, 24.00
80630, -0.07, -0.20, 0.98, -1.04, 2.20, -1.77, -28.00, 34.00, 25.00
81147, -0.08, -0.20, 0.98, -2.08, 2.32, -0.55, -25.00, 36.00, 24.00
81664, -0.06, -0.19, 0.97, -0.55, 4.27, -0.06, -25.00, 34.00, 25.00
82181, -0.07, -0.19, 0.98, -0.67, -0.49, -1.46, -26.00, 32.00, 26.00
82698, -0.07, -0.19, 0.96, -0.55, 1.34, 0.73, -25.00, 31.00, 28.00
83215, -0.03, -0.17, 0.96, 0.85, 3.30, 7.57, -27.00, 32.00, 23.00
83731, -0.08, -0.17, 0.97, -1.40, 0.24, -3.60, -27.00, 32.00, 23.00
84248, -0.08, -0.17, 0.98, 0.43, -0.55, 0.73, -27.00, 34.00, 27.00
84765, -0.08, -0.17, 0.97, 0.85, -2.69, 0.92, -26.00, 34.00, 26.00
85282, -0.08, -0.17, 0.97, 0.79, 2.32, 0.73, -24.00, 34.00, 26.00
85799, -0.08, -0.17, 0.98, 1.04, 0.43, 1.28, -27.00, 34.00, 28.00
86315, -0.07, -0.16, 0.97, 0.43, 1.65, 0.85, -25.00, 35.00, 24.00
86831, -0.07, -0.17, 0.98, -0.85, 0.73, -1.10, -23.00, 35.00, 30.00
87348, -0.07, -0.18, 0.98, 0.49, 2.26, -0.49, -23.00, 35.00, 26.00
87864, -0.08, -0.20, 0.96, 0.18, -12.57, -0.67, -25.00, 35.00, 28.00
88381, -0.07, -0.15, 0.98, 8.48, 3.05, 2.75, -25.00, 34.00, 30.00
88897, -0.08, -0.18, 0.98, 0.61, -1.22, 1.53, -25.00, 35.00, 28.00
89414, -0.08, -0.17, 0.97, 0.98, 4.27, 0.73, -26.00, 35.00, 29.00
89930, -0.07, -0.18, 0.95, 1.16, 0.06, 1.59, -27.00, 33.00, 27.00
90447, -0.07, -0.17, 0.97, 1.65, -0.49, 0.73, -26.00, 33.00, 25.00
90964, -0.08, -0.18, 0.98, 0.31, 0.98, 0.85, -26.00, 36.00, 27.00
91481, -0.07, -0.18, 0.97, 0.43, -1.71, -0.85, -24.00, 34.00, 30.00
